cam;year;month;day;hour;min;r;g;b;h;s;v;tot;r_pc;g_pc;b_pc;r_ex;g_ex;b_ex;n_rg_d;n_rb_d;n_gb_d
2;16;2;9;13;55;128.2124632572;124.619473684211;127.088022343595;167.369439920556;9.9013093346574;0;379.919959285005;-1.08417234127343;-1.12107185472893;-1.09565507665391;4.71743048659384;-6.06153823237339;1.34410774577954;0.018476215554463;0.00582642966678;-0.012624080789283
2;16;2;9;16;55;128.058974180735;124.478857000993;124.002967725919;181.199918073486;11.036588877855;0;376.540798907646;-1.07401453704278;-1.11305797441536;-1.11261785020827;7.63612363455809;-3.10422790466733;-4.53189572989076;0.019791778019237;0.01998313970817;0.000215903278826
2;16;2;10;10;55;127.403044190665;126.557198609732;120.870715491559;128.305017378352;11.7218252234359;0;374.830958291956;-1.07244086636153;-1.08594714779055;-1.14120808040579;7.37817428003972;4.84063753723933;-12.218811817279;0.006798491853259;0.03519898826825;0.028530511920501
2;16;2;10;13;55;122.558109731877;125.265382323734;129.152160873883;175.989681727905;10.6662120158888;0;376.975652929494;-1.12415997399748;-1.10674051493914;-1.07031490055339;-9.30132373386296;-1.17950595829196;10.4808296921549;-0.008733681395229;-0.026989708449775;-0.018252605454384
2;16;2;10;16;55;127.710640019861;123.641145481629;126.089390268123;204.268382323734;9.95299851042701;0;377.441175769613;-1.07926920452562;-1.12187480137035;-1.09710949440463;5.69074428997021;-6.51773932472691;0.826995034756703;0.022445533847756;0.00933971756454;-0.013103024078476
2;16;2;11;10;55;124.877549652433;126.512565541212;125.132175273088;151.999613207547;9.13697467725919;0;376.522290466733;-1.10333564350642;-1.09370870116172;-1.10346302691412;-1.88964150943396;3.01540615690169;-1.12576464746773;-0.004860581733566;5.78013812802321E-05;0.004884728436567
2;16;2;11;13;55;124.183089870904;125.8987224429;125.819731876862;188.138924031778;9.0403495531281;0;375.901544190665;-1.10831831989381;-1.09548326611965;-1.09631388852559;-3.35227457795432;1.79462313803376;1.55765143992056;-0.006475383642347;-0.006034711067213;0.000402901865916
2;16;2;11;16;55;124.781646971202;124.847866434955;128.239132571996;198.74862959285;9.04666186693148;0;377.868645978153;-1.10868030653106;-1.11094764519233;-1.08015650890097;-3.52370506454816;-3.32504667328699;6.84875173783515;0.00124699537422;-0.01425803476108;-0.015509261190308
2;16;2;12;10;55;130.017541211519;128.978719960278;121.506519860973;106.291622641509;10.9837567030785;0;380.502781032771;-1.0739150886712;-1.08168810496511;-1.14628753556174;9.54984260178749;6.43337884806356;-15.983221449851;0.003869125053344;0.036121607743361;0.032261363898772
2;16;2;12;13;55;123.478874379345;125.743945382324;125.775101290963;183.848440913605;9.73437934458788;0;374.997921052632;-1.11200340829416;-1.09447343650705;-1.0941765539686;-4.56129791459782;2.23391509433962;2.32738282025819;-0.008817571483939;-0.008938995321335;-0.000169556097077
