cam;year;month;day;hour;min;r;g;b;h;s;v;tot;r_pc;g_pc;b_pc;r_ex;g_ex;b_ex;n_rg_d;n_rb_d;n_gb_d;flower
1;16;7;5;16;55;129.475932472691;128.463322740814;126.19399652433;180.185070506455;11.6905729890765;0;384.133251737835;-1.09524056442795;-1.10206012337541;-1.10591595117219;4.29454568023833;1.25671648460775;-5.55126216484608;0.0033972039905029996;0.005306078604793;0.001836547566074;0
1;16;7;6;10;55;131.969926017875;131.58664498510402;127.855418073486;153.425878848064;9.46609731876862;0;391.411989076465;-1.09230350933181;-1.09013517552009;-1.1178066661950201;4.49778897715988;3.34794587884806;-7.84573485600795;-0.0011106850541760002;0.012717216352504;0.013804462526781998;0
1;16;7;6;13;55;126.86972194637501;129.26181578947399;130.653397715988;185.85532323733898;10.9429369414101;0;386.784935451837;-1.12093555399742;-1.09846065799263;-1.08140860477725;-6.1757696127110195;1.00051191658391;5.17525769612711;-0.011247052448195;-0.019720452788727003;-0.008526915688741;0
1;16;7;6;16;55;128.050368421053;128.096562562066;128.096105263158;187.092810327706;11.5142929493545;0;384.243036246276;-1.10544897066877;-1.10509908977889;-1.09177054332346;-0.091930983118173;0.046651439920555995;0.045279543197617;-0.000194327586069;-0.0068629807415630005;-0.0067327943706490005;0
1;16;7;7;10;55;124.25702879841101;131.14688877855;134.168194637537;190.26862611718002;12.8379885799404;0;389.572112214499;-1.15644825026123;-1.08828605330256;-1.05914344981034;-16.8010258192651;3.86855412115194;12.932471698113199;-0.034164722990224;-0.048540809258139;-0.014539644007683001;0
1;16;7;7;13;55;126.77646673286999;130.46235203575;130.323123634558;174.572719463754;12.8520714995035;0;387.561942403178;-1.1303820532468898;-1.0914784179603398;-1.08172791755932;-7.23254220456802;3.8251137040714998;3.4074285004965197;-0.019568992921844;-0.024261329960988003;-0.004891709490318;0
1;16;7;8;10;55;129.608678748759;130.926990069513;131.10384061569;177.631296425025;10.2004856007944;0;391.639509433962;-1.11350765002345;-1.0956714047382399;-1.09147348490699;-2.8134731876862;1.14146077457795;1.6720124131082401;-0.008959797031616997;-0.01100940096039;-0.0020936692067629998;0
1;16;7;8;13;55;130.329621648461;131.161428003972;127.297883813307;150.270146971202;10.0656156901688;0;388.78893346574;-1.1000679427259499;-1.08737518781763;-1.11387075003675;2.1999314796425;4.695350546176759;-6.895282025819269;-0.006388230546167;0.0068571383922119995;0.013174399942285;0
1;16;7;8;16;55;126.842064051639;127.48808440913601;128.522596822244;190.96914448858;12.4437070506455;0;382.85274528301903;-1.11369955333897;-1.105186867738;-1.08440060255738;-2.3265531281032796;-0.388492055610725;2.715045183714;-0.0042789988390359995;-0.014573427469431001;-0.010403642144321998;0
1;16;7;9;10;55;132.566890764647;132.134962760675;125.793078450844;131.557221946375;10.6226703078451;0;390.494931976167;-1.08594287140687;-1.08175035312865;-1.13375694806607;7.20574031777557;5.90995630585899;-13.1156966236346;-0.002136410219159;0.023854717809916;0.025979870790108998;0
